"commodity","horizon","beta_pre","beta_post","beta_diff","nobs","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Coffee",0,0.0426743756172484,-0.136098822881958,-0.178773198499206,271,500,-0.263586316893556,-0.201926626345916,-0.0506049616094306,0.0010892726752051,-0.0829521295662445,-0.0431002935781946,0.0573372633111679,0.0902533017966789,-0.220100533447123,-0.181192905282839,-0.0670871028183353,-0.0231900611368024
"Coffee",1,0.0410991330105558,-0.0394169886577186,-0.0805161216682744,271,500,-0.250349059491697,-0.154159355832835,0.0502850078674369,0.12397992957021,-0.099289779551602,-0.0462075793734783,0.0952885088051521,0.157824176705145,-0.168649185923859,-0.0936543127208522,0.0430499610422035,0.0766571425703186
"Coffee",2,0.0676378840698864,0.0413628304098709,-0.0262750536600155,271,500,-0.227590270421657,-0.118547228061834,0.108454705563791,0.18478135569754,-0.0938620362986433,-0.0264749678046825,0.127351328521445,0.18549392458333,-0.111892757065913,-0.0533585399235909,0.130328362212729,0.180703872248183
"Coffee",3,0.0518511122282206,-0.019642550016376,-0.0714936622445966,271,500,-0.266103717617559,-0.173376672829483,0.0871456928475968,0.183350240116478,-0.163695451016429,-0.0749514322308894,0.101620778852714,0.147054198440201,-0.211998932210111,-0.148606845141362,0.077143638775892,0.142193511611145
"Coffee",4,0.00979181107750737,-0.0848060430634539,-0.0945978541409612,271,500,-0.291796401882599,-0.187177932872226,0.119866360310324,0.242038994170108,-0.248869521081429,-0.146667752837245,0.0699349836006855,0.1180042605663,-0.272321880908048,-0.193544273107566,0.0481663082819477,0.119993824609891
"Coffee",5,0.00571732405790691,0.0116338469602329,0.00591652290232595,271,500,-0.225091033208852,-0.127689840761917,0.242649140026782,0.425208358080331,-0.317000653287962,-0.177921816085946,0.0868973887285499,0.143948158043897,-0.215950341836283,-0.139022109466889,0.166446701673396,0.258171871330115
"Coffee",6,-0.00170253725471222,-0.103779876281299,-0.102077339026587,271,500,-0.323447932375438,-0.213440876588546,0.16399504083057,0.334028409622857,-0.319928997134666,-0.180394265828393,0.098041062177303,0.153827919992312,-0.328115851797018,-0.219181330636063,0.0892260591412647,0.189933191608013
"Coffee",7,-0.0267832701377258,-0.0679038028232985,-0.0411205326855727,271,500,-0.272839914169102,-0.166799287098673,0.284749497454991,0.475163072189465,-0.440364720455981,-0.269602822694645,0.0927714464095434,0.152786207398674,-0.298206065013742,-0.177983802934081,0.128465180616047,0.223516545456053
"Coffee",8,-0.0605279217607252,-0.208165605160006,-0.147637683399281,271,500,-0.393605624257708,-0.277077309451112,0.165466253607265,0.364218539882756,-0.46386039810068,-0.274882980637457,0.0564987582395707,0.119190732543609,-0.432309149587194,-0.314480809429147,-0.00656654651122386,0.102668891523698
"Coffee",9,0.0246828614965055,-0.363726283735333,-0.388409145231839,271,500,-0.649943994029265,-0.531939019190513,-0.0975913116616216,0.0614399101392732,-0.295761351863738,-0.15735389879086,0.122967876990847,0.193989082569675,-0.612050500014682,-0.484522752635217,-0.159194866547078,-0.0541811449613407
"Coffee",10,-0.0206988979771537,-0.281810405510696,-0.261111507533542,271,500,-0.511225553856487,-0.398689319321183,0.0731798807993992,0.243475976445405,-0.409711109198657,-0.221903181470829,0.0823732523413944,0.140532001395109,-0.510602074168369,-0.400606739309805,-0.0573115004051712,0.0535017073284314
"Coffee",11,-0.108013884273714,-0.321637997319547,-0.213624113045832,271,500,-0.512471658427397,-0.371109955333771,0.11817458486741,0.289008713984651,-0.43464283651614,-0.279634925743894,0.0116124509510763,0.111884528761103,-0.619160121076125,-0.464176211750618,-0.0707801205618002,0.054635099869156
"Coffee",12,-0.115811423370775,-0.283097325306326,-0.167285901935551,271,500,-0.510576727840958,-0.331876604084083,0.20732038515893,0.394745049743792,-0.511663733023027,-0.335124320601889,0.0104084608321386,0.0769044347271991,-0.597703058582612,-0.457497844091045,-0.012275865703512,0.108212814149782
"Coffee",13,-0.223266776916863,-0.370309251077843,-0.14704247416098,271,500,-0.553494844660863,-0.354048160806829,0.250738931525959,0.458858946026779,-0.672413448374449,-0.470202715529696,-0.0793464237327193,-0.00702587883941192,-0.751701300587481,-0.550402799793713,-0.0661961383631649,0.0727479320068792
"Coffee",14,-0.156124172475577,-0.373323032765928,-0.217198860290351,271,500,-0.643827412052502,-0.415249242064589,0.247531827074431,0.516023208240018,-0.693810776778571,-0.459008903822048,-0.0102743358888702,0.0654539558880586,-0.777781817566373,-0.584356207729577,-0.0421748864719045,0.126930487832716
"Coffee",15,-0.125797788834012,-0.250529270449521,-0.124731481615509,271,500,-0.589170428637863,-0.342306875888679,0.334344515168537,0.561771147856757,-0.648109590255215,-0.408103717588629,0.0171306786917512,0.0988272405443058,-0.687653918486243,-0.492213986790199,0.0622222266094895,0.228352326979142
"Coffee",16,-0.165073088972811,-0.346776807854927,-0.181703718882116,271,500,-0.690702200157823,-0.411849201407384,0.251895885710372,0.507943781055169,-0.662529211960236,-0.444271817100256,-0.0180866013590936,0.0495509670824345,-0.844160618527666,-0.614593640771668,-0.0239197977080466,0.156892011144149
"Coffee",17,-0.159115556336918,-0.365120725556811,-0.206005169219893,271,500,-0.696182939241095,-0.429880004297928,0.251400333047043,0.536222767003569,-0.650637449868635,-0.431067142882417,-0.0120193583896183,0.0916741883505277,-0.793937863106942,-0.601781814274088,-0.0229402667278009,0.168509726972017
"Coffee",18,-0.257595694991294,-0.417410101171789,-0.159814406180495,271,500,-0.605366397791553,-0.357813735998833,0.31335246188763,0.578105302253489,-0.761389028422356,-0.511996166667534,-0.12897330680098,0.000523087830615977,-0.832383152714996,-0.611113676663053,-0.0925668064723234,0.115758314028892
"Coffee",19,-0.288869669658329,-0.285525426952509,0.00334424270582031,271,500,-0.465248288560357,-0.220719018354402,0.46588267441565,0.706212594274799,-0.749284779263833,-0.537692279246962,-0.14186852440595,-0.0230685827971317,-0.695911959395778,-0.510080672771916,0.0371314368305819,0.282940362682436
"Coffee",20,-0.217670733002977,-0.445815170841574,-0.228144437838598,271,500,-0.775750099790054,-0.48783843346562,0.263338998916667,0.518540669869416,-0.712519724325963,-0.478101493072338,-0.0526054354538047,0.0746997040674054,-0.908237563041718,-0.694440352977611,-0.0817120344414803,0.170043857209667
