"commodity","horizon","beta_pre","beta_post","beta_diff","n_pre","n_post","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Coffee",0,0.0922828919107252,-0.229196062611832,-0.321478954522558,163,190,500,-0.956693621556713,-0.677814225789938,-0.15012716695459,0.0269507935358716,-0.209265374079039,-0.0634234271012654,0.435899035129628,0.717671597989964,-0.396661737697279,-0.313416391622574,-0.137332924176078,-0.0900732503113262
"Coffee",1,0.125733683647408,-0.0236070984683114,-0.14934078211572,163,190,500,-0.98744958501542,-0.597738862329132,0.145973251065632,0.486993720022753,-0.436475569814381,-0.151278994881129,0.547895512583173,0.875889441898729,-0.264655857149125,-0.180586399285149,0.0942766680185956,0.190294747258682
"Coffee",2,0.15949014220875,0.0121571156975896,-0.14733302651116,163,190,500,-0.671210272309596,-0.477986099677791,0.158736625907817,0.419372024706855,-0.360783839224946,-0.11165329364161,0.42506987123669,0.629937607417615,-0.272083052128604,-0.151574330743556,0.176097416938155,0.282592381727777
"Coffee",3,0.0304991170133441,-0.0399132370589629,-0.070412354072307,163,189,500,-0.689680566954339,-0.414702852883806,0.267097333361245,0.519948979197725,-0.577862418531001,-0.238566112629826,0.331806241472827,0.528736426860633,-0.380890970861695,-0.226161041747627,0.136209399413814,0.27195539815777
"Coffee",4,0.100803780290878,-0.167795888309166,-0.268599668600044,163,188,500,-0.9270716219057,-0.642367237947127,0.236008762870875,0.553445694172295,-0.705246441949445,-0.331470047007241,0.410838522259373,0.629370744830322,-0.606789224258999,-0.414903325882784,0.114083882036805,0.232191021580872
"Coffee",5,-0.0773524566776803,-0.12747889316333,-0.0501264364856494,163,187,500,-0.894323808077164,-0.607652084875177,0.601413867759878,1.13603437166138,-1.19051666703415,-0.667021137168373,0.406596712042235,0.735740377515356,-0.592526431363907,-0.386828574729039,0.157780021124211,0.307235525006903
"Coffee",6,0.113538287533139,-0.377655458662474,-0.491193746195614,163,186,500,-1.26700541391879,-0.957810191051355,0.32743922817518,1.02834153015841,-1.2909728215002,-0.681382383679943,0.501813721630989,0.720729864591488,-1.03526417909903,-0.70804729774138,-0.0818714004127999,0.0796301411929068
"Coffee",7,0.092158280461358,-0.282799577087366,-0.374957857548724,163,185,500,-1.34498603918432,-0.929928804200076,0.585175201480426,1.35125450142964,-1.579336978016,-0.809023336156018,0.642334510825682,0.873207117697995,-0.959124015749863,-0.630462814343388,0.0198500079761056,0.172971960038915
"Coffee",8,0.137414482356664,-0.405056295125829,-0.542470777482492,163,184,500,-1.55685223900875,-1.09822756409502,0.506967258036936,1.29550805214359,-1.73446015511763,-0.885499500635,0.685126884514645,1.00628268814516,-0.910908201280905,-0.650257012437517,-0.105632104246862,0.0313675528651775
"Coffee",9,0.287922461695717,-0.62870276772298,-0.916625229418697,163,183,500,-1.89875775814831,-1.51648575966634,0.00441049539225149,0.749957817937407,-1.25935025042446,-0.584102859567169,0.850256937991003,1.15731496407107,-1.06612607295757,-0.863463959889945,-0.349445944880167,-0.210341010789653
