"commodity","horizon","beta_pre","beta_post","beta_diff","n_pre","n_post","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Coffee",0,0.245542394366909,-0.215705917605786,-0.461248311972694,103,190,500,-1.12165469106478,-0.794958643664585,-0.15362541825974,0.0178248200768414,-0.198760541167993,-0.0492797613433572,0.57016177870126,0.92555534125787,-0.364477169853485,-0.303730107582746,-0.10430993206731,-0.0264917557631078
"Coffee",1,0.141576598696114,0.00420120882645741,-0.137375389869657,103,190,500,-0.71606855496421,-0.45929530121166,0.29764522000042,0.571980569719725,-0.489675741199049,-0.242527226961909,0.442389453075667,0.691425850100703,-0.193013120743743,-0.123430494801326,0.158234519333919,0.249609416222205
"Coffee",2,0.344201451797263,0.0545533869628941,-0.289648064834369,103,190,500,-1.04103591133043,-0.6649936621728,0.136774710478459,0.481082782441624,-0.397724126511216,-0.0698548145939053,0.671328028778416,0.993673555016216,-0.233341555956333,-0.133418714694828,0.187735469743907,0.304025212630481
"Coffee",3,0.296623394882233,0.0326100988740745,-0.264013296008158,103,189,500,-0.973847682644661,-0.668486741879889,0.324055225855774,0.752050336280756,-0.681789212832992,-0.259652821383229,0.646535903299818,0.925066849631206,-0.320155012129609,-0.191549738222612,0.233490689250764,0.366282346265312
"Coffee",4,0.174906930296272,-0.101619107989798,-0.276526038286069,103,188,500,-1.1080387786328,-0.739667852630727,0.523884049190501,1.17131806490633,-1.24911193107056,-0.572000011910455,0.592213471218799,0.961722820206578,-0.505099010274478,-0.351546593278548,0.179020310625629,0.345730238589739
"Coffee",5,0.0411371280175481,-0.0935863724584957,-0.134723500476044,103,187,500,-1.11524697315184,-0.696834616595049,0.711716929800017,1.51407774418504,-1.51644508988434,-0.741498970591602,0.579568775563146,0.898656000316618,-0.520385992148087,-0.334748343371087,0.182433001133314,0.394211207183495
"Coffee",6,-0.0319729624258333,-0.36863489847418,-0.336661936048347,103,186,500,-1.32689980465775,-0.965431772230775,0.581256953593781,1.3026999237347,-1.72623369953153,-0.888892018577823,0.522666271395664,0.845631003062749,-0.948696040396399,-0.699659841760193,-0.126025147898538,0.0986529472870496
"Coffee",7,-0.00170355186723738,-0.281065522935442,-0.279361971068205,103,185,500,-1.444896562191,-1.0398247475351,0.954096659958008,1.67016314396602,-2.07347545853207,-1.1163447358865,0.681073278136945,1.00515465579997,-0.921918306548999,-0.662764143211704,-0.011259595672787,0.251395647763837
"Coffee",8,-0.0399072725394687,-0.398707795367484,-0.358800522828016,103,184,500,-1.58750133225356,-1.12820057559679,0.821457555470946,1.73025773162781,-2.19016023722847,-1.11038123910765,0.612872505082541,0.988712020497844,-1.05518386183254,-0.766555464359906,-0.0774958106011153,0.17360718538313
"Coffee",9,0.401435785273578,-0.598188729288514,-0.999624514562092,103,183,500,-2.22521221074804,-1.778385334531,0.0741933343540461,0.715242753260147,-1.40270221347112,-0.594932477462301,0.968582750599304,1.48728247538342,-1.25390139923814,-1.01905684481911,-0.277759555021802,-0.0340849703486129
"Coffee",10,0.29692393426654,-0.451521593588649,-0.748445527855189,103,182,500,-2.0375135071671,-1.62310824099548,0.504550974390533,1.44760682776613,-1.93424794640094,-1.01430492015387,0.928993298726898,1.43492888803653,-1.17348909837606,-0.894915881641858,-0.0652637757830471,0.180950953655839
"Coffee",11,-0.356510068457236,-0.552042251620585,-0.195532183163349,103,181,500,-1.55522287359203,-1.03428456753121,1.13747437205253,1.96041206913319,-2.45041878824617,-1.65154754865435,0.260814126259513,0.777980818296828,-1.42028083332137,-1.09362996547909,-0.0994095752742382,0.229927507690048
