"commodity","horizon","beta_pre","beta_post","beta_diff","n_pre","n_post","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Oil",0,0.101303746914186,0.491173350874778,0.389869603960592,115,144,500,-0.620119987935709,-0.393426687646191,0.598596358632666,0.885155737067406,-0.345794431922745,-0.16466694619173,0.326444384167169,0.516438529207638,-0.346914568433626,-0.229292935385597,0.638910856789186,0.874784386519576
"Oil",1,0.656092949287463,0.661768466725194,0.00567551743773176,115,144,500,-1.46213716588205,-1.10442493912302,0.359924648289875,0.700578778663535,0.0428321535800132,0.265056227691306,1.12594157265847,1.40669273948721,-0.531919936497876,-0.306260666591183,0.897227168157718,1.22667053313285
"Oil",2,0.670797505600503,0.2976437538283,-0.373153751772203,115,144,500,-1.50203392936231,-1.22633040026313,0.0104760967331325,0.381067484934263,0.0194345236501342,0.275897780952029,1.12657739260003,1.40934869483733,-0.632150507199454,-0.350904279297076,0.527470610883065,0.72266957074469
"Oil",3,0.342445504129524,0.178049181823114,-0.164396322306411,115,144,500,-1.28123429831257,-0.868077470826094,0.323544818578234,0.654570267820903,-0.477718100958325,-0.215652608583748,0.726976173217464,1.04478199841174,-0.697471713188912,-0.422860243797877,0.405427729613595,0.58807919746804
"Oil",4,0.34335562441464,0.510120096819054,0.166764472404414,115,144,500,-1.09194130516312,-0.624606345747075,0.749801356913876,1.21824659374169,-0.826313962204785,-0.34417841001486,0.741111046404817,1.08260787377316,-0.446554922039157,-0.165989763626256,0.700756335312346,0.916444611282833
"Oil",5,0.399921307242652,0.356667163031802,-0.0432541442108506,115,144,500,-1.4939894226833,-0.849331686687913,0.756849628254961,1.19973125021135,-0.932433857499881,-0.423476931412052,0.820932347003813,1.28825094134213,-0.632998458095993,-0.364274346344519,0.582822984480685,0.859381596318926
"Oil",6,0.971344084874494,-0.180329502628605,-1.1516735875031,115,144,500,-2.88457976205052,-2.16532758573803,-0.193958998991281,0.374438099312158,-0.491136246882016,-0.0255084135211576,1.38961298013888,1.86232462397414,-1.57253156859364,-1.0611630645268,0.136915269632888,0.472147113999605
"Oil",7,1.02378856823413,0.0404628018450111,-0.983325766389123,115,144,500,-2.78821365618977,-1.9750352865705,0.0652155082476652,0.777618377080221,-0.494296130416835,-0.0134875402988792,1.44944002729033,2.01095586477314,-1.32006085490096,-0.813524576183146,0.365171949322789,0.811539205070404
"Oil",8,1.28005057487103,-0.343115535963765,-1.62316611083479,115,144,500,-3.51789041194763,-2.59909165488355,-0.458473501119169,0.150445823013376,-0.359133776381302,0.116225242590327,1.71439517606389,2.35681247833294,-1.87762949001313,-1.33851741978309,0.0901625646936902,0.480870140875938
"Oil",9,1.26400053805207,-0.055504542318484,-1.31950508037055,115,144,500,-3.44656269229073,-2.35068053415328,0.208921562053215,1.09763340682306,-0.588848009884628,-0.0449469907622688,1.68429916844768,2.34571390099557,-1.986436958603,-1.23631421032789,0.728514397407386,1.2753248415636
"Oil",10,1.04516715208526,0.0325750104005601,-1.0125921416847,115,144,500,-3.02270670976937,-1.93254606566142,0.469097635495376,1.30119980856622,-0.759207546003288,-0.225271567450547,1.50994434506678,2.14680338946221,-1.74319765591309,-0.943280177383177,0.796149944100158,1.26412478539612
