"commodity","horizon","beta_pre","beta_post","beta_diff","n_pre","n_post","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Coffee",0,0.161932649426573,-0.215705917605786,-0.377638567032359,151,190,500,-0.80494407698199,-0.61752479356437,-0.112291715801019,0.0693437541127158,-0.249396006915897,-0.0830405888237377,0.376432290853111,0.579378681355996,-0.384642959351188,-0.310782280275458,-0.121315125433982,-0.0439543528632335
"Coffee",1,0.225663525280015,0.00420120882645741,-0.221462316453557,151,190,500,-0.685815512946738,-0.494391527095165,0.102163230947278,0.333611815002571,-0.277991952524942,-0.0706082540933919,0.452407789856574,0.655814210019318,-0.207502913517474,-0.126493570154832,0.132483030216783,0.231139785895331
"Coffee",2,0.291447036391488,0.0545533869628941,-0.236893649428594,151,190,500,-0.763426978179328,-0.537379287806472,0.176606687231169,0.44119152668635,-0.403899167198152,-0.108617493599614,0.533925676062851,0.711905046670921,-0.23466245865261,-0.126555666422897,0.185594995110784,0.284495380647764
"Coffee",3,0.128945992198521,0.0326100988740745,-0.0963358933244469,151,189,500,-0.686786854968942,-0.434023998038925,0.443207789250714,0.834664248574037,-0.840154648468346,-0.378118771820389,0.401680688600178,0.590109016464358,-0.338749297460777,-0.184158070006771,0.214952112636795,0.363920277555603
"Coffee",4,0.211628684493139,-0.101619107989798,-0.313247792482936,151,188,500,-1.04972227661964,-0.755238678905345,0.254750258181479,0.786035989886191,-0.854310247838841,-0.297250322420766,0.579840194205633,0.784034631520311,-0.558658615822834,-0.36133581917794,0.159312582696426,0.30862751532205
"Coffee",5,-0.0537839741217791,-0.0935863724584957,-0.0398023983367166,151,187,500,-0.887736171230743,-0.554897514014035,0.832708114689562,1.51057256641859,-1.48653280742522,-0.832750276685188,0.411102359057447,0.696261994517251,-0.555609648689667,-0.383289228475368,0.186102890081832,0.349478284746066
"Coffee",6,0.0156982821370002,-0.36863489847418,-0.38433318061118,151,186,500,-1.27354877903827,-0.922942486691136,0.421805839066061,0.993374791503488,-1.2217957849188,-0.755426977452186,0.425915921910544,0.669134481621475,-0.919623655499088,-0.71021837895802,-0.0721517172503358,0.143885567324658
"Coffee",7,0.125291276912889,-0.281065522935442,-0.406356799848331,151,185,500,-1.35831746836985,-1.02232276788026,0.57504147073057,1.21386894523437,-1.44888606813385,-0.766256348886558,0.626580025205285,0.91106152716006,-0.868490379440474,-0.627583490904976,0.0176686077600473,0.231362140531468
"Coffee",8,0.238792857759625,-0.398707795367484,-0.63750065312711,151,184,500,-1.63886100887648,-1.26769101597538,0.257632858779573,0.849817145041238,-1.24063397618259,-0.618350398343345,0.724416285181574,1.02741403447727,-1.00797869073452,-0.777298922268409,-0.0674298598185596,0.14158365286221
"Coffee",9,0.425513950993793,-0.598188729288514,-1.02370268028231,151,183,500,-2.00845860641207,-1.67523887634682,-0.158091773976048,0.480396078894127,-1.01565371656376,-0.383412774618726,0.896770214010618,1.22474512196801,-1.21347285666323,-0.996657678270744,-0.253402147799698,-0.0292134743038695
"Coffee",10,0.385867677377507,-0.451521593588649,-0.837389270966156,151,182,500,-1.81143064485509,-1.51275320884776,0.1296684320538,0.748075749707252,-1.26903030595319,-0.464265423417574,0.877098063490243,1.1799079575705,-1.12777716850809,-0.880361229499139,-0.0500680864926395,0.236798366272725
"Coffee",11,-0.109574845461813,-0.552042251620585,-0.442467406158772,151,181,500,-1.65610420571365,-1.09008548119082,0.574974918959684,1.28970141708931,-1.7191479447752,-0.915423208456235,0.382555456431467,0.769604875281763,-1.34152356616523,-1.10073724739835,-0.069188485494825,0.211749243179825
"Coffee",12,0.121830217680502,-0.499627809864041,-0.621458027544544,151,180,500,-1.93202520907828,-1.35744687343154,0.486503911324981,1.23990438377215,-1.55332311044834,-0.766000765726592,0.699196569091871,1.05937412782341,-1.28381034122742,-1.04905922420265,-0.058761206252129,0.272835805729088
"Coffee",13,-0.200085498281191,-0.785401244066019,-0.585315745784828,151,179,500,-2.11313631322155,-1.43379895354364,0.571978831292009,1.49282496785975,-2.00233071728753,-1.17857333156796,0.495731779282529,0.847310006974649,-1.66905026256408,-1.3629503048071,-0.275862636388487,0.124055346664793
"Coffee",14,0.105359093604352,-0.755244150310881,-0.860603243915233,151,178,500,-2.4040586897058,-1.71287512507669,0.414232261335086,1.70910906763466,-2.13246109404005,-0.986876537432889,0.811498646257759,1.25721986687457,-1.76029884633739,-1.36375025452915,-0.141976449584209,0.303859762858456
"Coffee",15,0.314336339303088,-0.541015143057072,-0.855351482360159,151,177,500,-2.43505749096662,-1.73018860318084,0.311302010781658,1.23283746186776,-1.79847810904606,-0.714100333651474,1.01856321286131,1.43580707279079,-1.56493998543892,-1.17309409640113,0.0724046023911953,0.466362568141797
"Coffee",16,0.19585862200324,-0.622559590025207,-0.818418212028447,151,176,500,-2.34026304922146,-1.72505935120554,0.436552538383736,1.32883964955145,-1.9168225435896,-0.758204760265375,0.894956015252981,1.32254133545254,-1.70371090886966,-1.26447198174455,0.0130921431014025,0.454936230998479
